{'time': 2701, 'x': 185.125, 'y': -2.875, 'z': 175.188, 'watertmp': 26.2, 'depth': 0.2, 'thr0': 32.079, 'thr1': -273.15, 'thr2': 24.596, 'thr3': 23.892, 'thr4': 33.933, 'thr5': 31.22, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 9.3, 'cel1': 6.8, 'cel2': 6.4, 'cel3': 6.1, 'cel4': 5.7, 'cel5': 5.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2710}
{'time': 2782, 'x': 185.0, 'y': -2.563, 'z': 175.938, 'watertmp': 26.2, 'depth': 0.2, 'thr0': 32.187, 'thr1': -273.15, 'thr2': 24.697, 'thr3': 23.992, 'thr4': 34.154, 'thr5': 31.114, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 9.3, 'cel1': 6.8, 'cel2': 6.4, 'cel3': 6.1, 'cel4': 5.7, 'cel5': 5.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2792}
{'time': 2866, 'x': 184.688, 'y': -2.375, 'z': 176.438, 'watertmp': 26.2, 'depth': 0.2, 'thr0': 32.079, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 23.892, 'thr4': 34.264, 'thr5': 31.434, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 9.3, 'cel1': 6.8, 'cel2': 6.4, 'cel3': 6.1, 'cel4': 5.8, 'cel5': 5.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2875}
{'time': 2947, 'x': 184.188, 'y': -2.313, 'z': 176.625, 'watertmp': 26.2, 'depth': 0.2, 'thr0': 32.187, 'thr1': -273.15, 'thr2': 24.596, 'thr3': 23.992, 'thr4': 34.043, 'thr5': 31.22, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 9.3, 'cel1': 6.8, 'cel2': 6.4, 'cel3': 6.1, 'cel4': 5.8, 'cel5': 5.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2957}
{'time': 3028, 'x': 183.5, 'y': -2.188, 'z': 176.625, 'watertmp': 26.2, 'depth': 0.2, 'thr0': 32.079, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 23.892, 'thr4': 34.043, 'thr5': 31.22, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 9.3, 'cel1': 6.8, 'cel2': 6.4, 'cel3': 6.1, 'cel4': 5.8, 'cel5': 5.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 3039}
{'time': 3110, 'x': 182.813, 'y': -2.125, 'z': 176.313, 'watertmp': 26.2, 'depth': 0.2, 'thr0': 32.295, 'thr1': -273.15, 'thr2': 24.798, 'thr3': 24.193, 'thr4': 34.264, 'thr5': 31.434, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 9.4, 'cel1': 6.9, 'cel2': 6.4, 'cel3': 6.1, 'cel4': 5.8, 'cel5': 5.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 3120}
{'time': 3192, 'x': 182.25, 'y': -1.938, 'z': 175.875, 'watertmp': 26.2, 'depth': 0.1, 'thr0': 31.971, 'thr1': -273.15, 'thr2': 24.395, 'thr3': 23.792, 'thr4': 33.933, 'thr5': 31.22, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 9.3, 'cel1': 6.8, 'cel2': 6.4, 'cel3': 6.1, 'cel4': 5.8, 'cel5': 5.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 3202}
{'time': 3275, 'x': 181.938, 'y': -1.75, 'z': 175.375, 'watertmp': 26.2, 'depth': 0.1, 'thr0': 32.079, 'thr1': -273.15, 'thr2': 24.596, 'thr3': 23.992, 'thr4': 34.043, 'thr5': 31.114, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 9.3, 'cel1': 6.8, 'cel2': 6.4, 'cel3': 6.1, 'cel4': 5.8, 'cel5': 5.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 3284}
{'time': 3357, 'x': 181.813, 'y': -1.563, 'z': 175.063, 'watertmp': 26.2, 'depth': 0.1, 'thr0': 32.187, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 23.992, 'thr4': 34.043, 'thr5': 31.22, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 9.3, 'cel1': 6.8, 'cel2': 6.4, 'cel3': 6.1, 'cel4': 5.8, 'cel5': 5.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 3366}
{'time': 3439, 'x': 181.813, 'y': -1.25, 'z': 175.25, 'watertmp': 26.2, 'depth': 0.1, 'thr0': 32.079, 'thr1': -273.15, 'thr2': 24.495, 'thr3': 23.792, 'thr4': 33.822, 'thr5': 30.901, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 9.3, 'cel1': 6.8, 'cel2': 6.4, 'cel3': 6.1, 'cel4': 5.8, 'cel5': 5.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 3448}
{'time': 3520, 'x': 181.813, 'y': -0.938, 'z': 175.75, 'watertmp': 26.2, 'depth': 0.1, 'thr0': 32.295, 'thr1': -273.15, 'thr2': 24.596, 'thr3': 24.093, 'thr4': 34.154, 'thr5': 31.22, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 9.3, 'cel1': 6.8, 'cel2': 6.4, 'cel3': 6.1, 'cel4': 5.8, 'cel5': 5.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 3530}
