{'time': 11673, 'x': 186.938, 'y': -5.5, 'z': 170.625, 'watertmp': 26.8, 'depth': 0.3, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 28.275, 'thr4': 28.69, 'thr5': 30.264, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 1, 'endtime': 11682}
{'time': 12039, 'x': 190.25, 'y': -6.625, 'z': 170.938, 'watertmp': 26.8, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 27.861, 'thr3': 28.899, 'thr4': 29.317, 'thr5': 30.901, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 1, 'endtime': 12048}
{'time': 12405, 'x': 194.063, 'y': -7.625, 'z': 170.688, 'watertmp': 26.8, 'depth': 0.2, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 28.067, 'thr3': 28.794, 'thr4': 29.212, 'thr5': 30.901, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 1, 'endtime': 12416}
{'time': 12773, 'x': 199.5, 'y': -7.625, 'z': 170.625, 'watertmp': 26.8, 'depth': 0.2, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 27.861, 'thr3': 28.586, 'thr4': 29.317, 'thr5': 30.582, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 1, 'endtime': 12783}
{'time': 13139, 'x': 202.438, 'y': -8.75, 'z': 169.25, 'watertmp': 26.8, 'depth': 0.2, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 28.275, 'thr4': 28.586, 'thr5': 30.264, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 1, 'endtime': 13150}
{'time': 13508, 'x': 206.563, 'y': -8.375, 'z': 169.313, 'watertmp': 26.8, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 28.586, 'thr4': 29.003, 'thr5': 30.582, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 1, 'endtime': 13518}
{'time': 13874, 'x': 212.375, 'y': -7.875, 'z': 169.5, 'watertmp': 26.8, 'depth': 0.3, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 27.757, 'thr3': 28.586, 'thr4': 28.899, 'thr5': 30.688, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 1, 'endtime': 13884}
{'time': 14241, 'x': 217.375, 'y': -8.063, 'z': 166.0, 'watertmp': 26.8, 'depth': 0.3, 'thr0': 27.551, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 28.378, 'thr4': 28.899, 'thr5': 30.476, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 1, 'endtime': 14252}
{'time': 14610, 'x': 221.313, 'y': -7.0, 'z': 166.938, 'watertmp': 26.8, 'depth': 0.2, 'thr0': 28.171, 'thr1': -273.15, 'thr2': 28.067, 'thr3': 28.794, 'thr4': 29.212, 'thr5': 30.901, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 1, 'endtime': 14619}
{'time': 14976, 'x': 223.938, 'y': -3.375, 'z': 169.813, 'watertmp': 26.8, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 27.964, 'thr3': 28.794, 'thr4': 29.212, 'thr5': 31.007, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 1, 'endtime': 14986}
{'time': 15342, 'x': 225.75, 'y': -4.063, 'z': 167.25, 'watertmp': 26.8, 'depth': 0.3, 'thr0': 28.171, 'thr1': -273.15, 'thr2': 28.171, 'thr3': 29.003, 'thr4': 29.317, 'thr5': 30.901, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 1, 'endtime': 15352}
{'time': 15711, 'x': 226.563, 'y': -4.0, 'z': 169.125, 'watertmp': 26.8, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 28.067, 'thr3': 28.794, 'thr4': 29.212, 'thr5': 30.794, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 1, 'endtime': 15721}
{'time': 16077, 'x': 223.688, 'y': -2.438, 'z': 169.375, 'watertmp': 26.8, 'depth': 0.3, 'thr0': 28.171, 'thr1': -273.15, 'thr2': 27.964, 'thr3': 28.482, 'thr4': 28.899, 'thr5': 30.476, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 1, 'endtime': 16087}
{'time': 16444, 'x': 221.438, 'y': -0.938, 'z': 169.375, 'watertmp': 26.8, 'depth': 0.3, 'thr0': 27.964, 'thr1': -273.15, 'thr2': 27.964, 'thr3': 28.69, 'thr4': 29.108, 'thr5': 30.582, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.3, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 1, 'endtime': 16454}
{'time': 16812, 'x': 220.063, 'y': -2.188, 'z': 171.563, 'watertmp': 26.8, 'depth': 0.3, 'thr0': 28.067, 'thr1': -273.15, 'thr2': 27.964, 'thr3': 28.794, 'thr4': 29.212, 'thr5': 30.794, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 1, 'endtime': 16821}
{'time': 17178, 'x': 221.75, 'y': -4.125, 'z': 173.625, 'watertmp': 26.8, 'depth': 0.3, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 27.551, 'thr3': 28.482, 'thr4': 28.899, 'thr5': 30.582, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 11.2, 'cel1': 7.6, 'cel2': 6.1, 'cel3': 5.4, 'cel4': 4.6, 'cel5': 4.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 1, 'endtime': 17188}
