{'time': 2763, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 25.0, 'depth': -0.0, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 19.817, 'thr3': 20.113, 'thr4': 20.014, 'thr5': 20.014, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.3, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 2.1, 'cel5': 2.2, 'rot0': 106, 'rot1': 129, 'rot2': 1348, 'rot3': 1373, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2775}
{'time': 2848, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 25.0, 'depth': -0.0, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 19.916, 'thr3': 20.014, 'thr4': 19.817, 'thr5': 20.113, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.2, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 2.1, 'cel5': 2.2, 'rot0': 110, 'rot1': 132, 'rot2': 1378, 'rot3': 1406, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2860}
{'time': 2932, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 25.0, 'depth': -0.0, 'thr0': 20.508, 'thr1': -86.987, 'thr2': 19.916, 'thr3': 20.31, 'thr4': 20.113, 'thr5': 20.014, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.2, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.4, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.2, 'rot0': 112, 'rot1': 137, 'rot2': 1423, 'rot3': 1443, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 2944}
{'time': 3017, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 25.0, 'depth': -0.0, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 19.817, 'thr3': 20.31, 'thr4': 20.113, 'thr5': 20.113, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.2, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 2.1, 'cel5': 2.2, 'rot0': 115, 'rot1': 140, 'rot2': 1461, 'rot3': 1497, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3028}
{'time': 3102, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 25.0, 'depth': -0.0, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 19.916, 'thr3': 20.113, 'thr4': 19.817, 'thr5': 19.916, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.3, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 2.1, 'cel5': 2.2, 'rot0': 118, 'rot1': 144, 'rot2': 1502, 'rot3': 1530, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3113}
{'time': 3187, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 25.0, 'depth': -0.0, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 19.916, 'thr4': 19.817, 'thr5': 19.916, 'cur0': 1.2, 'cur1': 0.1, 'cur2': 1.3, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.4, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.2, 'rot0': 121, 'rot1': 150, 'rot2': 1545, 'rot3': 1566, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3198}
{'time': 3273, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 25.0, 'depth': -0.0, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 19.817, 'thr3': 19.916, 'thr4': 19.817, 'thr5': 20.113, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.3, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 2.1, 'cel5': 2.2, 'rot0': 123, 'rot1': 154, 'rot2': 1581, 'rot3': 1619, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3284}
{'time': 3357, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 25.0, 'depth': -0.0, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 20.014, 'thr3': 20.113, 'thr4': 20.014, 'thr5': 20.014, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.2, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.4, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.2, 'rot0': 126, 'rot1': 156, 'rot2': 1631, 'rot3': 1650, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3368}
{'time': 3443, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 25.0, 'depth': -0.0, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 20.014, 'thr4': 19.817, 'thr5': 20.113, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.2, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.4, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.2, 'rot0': 129, 'rot1': 162, 'rot2': 1661, 'rot3': 1689, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3454}
{'time': 3527, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 25.0, 'depth': -0.0, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 20.014, 'thr3': 20.212, 'thr4': 20.113, 'thr5': 20.212, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.3, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.4, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.2, 'rot0': 131, 'rot1': 166, 'rot2': 1716, 'rot3': 1738, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3538}
{'time': 3613, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 25.0, 'depth': -0.0, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 19.62, 'thr3': 19.817, 'thr4': 19.916, 'thr5': 19.916, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.2, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.4, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.2, 'rot0': 134, 'rot1': 168, 'rot2': 1744, 'rot3': 1771, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3624}
{'time': 3697, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 25.0, 'depth': -0.0, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 20.014, 'thr3': 20.31, 'thr4': 20.113, 'thr5': 20.212, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.3, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.4, 'cel3': 1.8, 'cel4': 2.0, 'cel5': 2.2, 'rot0': 137, 'rot1': 174, 'rot2': 1797, 'rot3': 1820, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3708}
{'time': 3782, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 25.0, 'depth': -0.0, 'thr0': 20.508, 'thr1': -86.987, 'thr2': 19.916, 'thr3': 20.113, 'thr4': 19.817, 'thr5': 19.916, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.2, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.4, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.2, 'rot0': 141, 'rot1': 179, 'rot2': 1831, 'rot3': 1870, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3793}
{'time': 3867, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 25.0, 'depth': -0.0, 'thr0': 20.014, 'thr1': -273.15, 'thr2': 19.62, 'thr3': 20.014, 'thr4': 19.916, 'thr5': 19.916, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.2, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.4, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.2, 'rot0': 145, 'rot1': 182, 'rot2': 1875, 'rot3': 1903, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3878}
{'time': 3952, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 25.0, 'depth': -0.0, 'thr0': 20.409, 'thr1': -273.15, 'thr2': 20.014, 'thr3': 20.014, 'thr4': 19.916, 'thr5': 19.916, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.3, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.4, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.2, 'rot0': 148, 'rot1': 187, 'rot2': 1915, 'rot3': 1948, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 3963}
{'time': 4037, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 25.0, 'depth': -0.0, 'thr0': 20.113, 'thr1': -273.15, 'thr2': 19.62, 'thr3': 19.916, 'thr4': 19.718, 'thr5': 19.817, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.3, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.4, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.2, 'rot0': 150, 'rot1': 190, 'rot2': 1955, 'rot3': 1997, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 4048}
{'time': 4123, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 25.0, 'depth': -0.0, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 19.718, 'thr3': 19.817, 'thr4': 19.718, 'thr5': 19.916, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.3, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.4, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.2, 'rot0': 153, 'rot1': 193, 'rot2': 2000, 'rot3': 2028, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 4134}
{'time': 4207, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 25.0, 'depth': -0.0, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 20.113, 'thr3': 20.212, 'thr4': 20.014, 'thr5': 20.212, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.2, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.4, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.2, 'rot0': 156, 'rot1': 199, 'rot2': 2033, 'rot3': 2077, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 4218}
{'time': 4293, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 25.0, 'depth': -0.0, 'thr0': 20.31, 'thr1': -273.15, 'thr2': 19.817, 'thr3': 20.014, 'thr4': 20.113, 'thr5': 20.014, 'cur0': 1.2, 'cur1': 0.1, 'cur2': 1.3, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.4, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.2, 'rot0': 158, 'rot1': 201, 'rot2': 2084, 'rot3': 2124, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 4304}
{'time': 4377, 'x': 182.75, 'y': -0.125, 'z': 172.938, 'watertmp': 25.0, 'depth': -0.0, 'thr0': 20.212, 'thr1': -273.15, 'thr2': 19.916, 'thr3': 20.212, 'thr4': 20.014, 'thr5': 20.113, 'cur0': 1.3, 'cur1': 0.1, 'cur2': 1.2, 'cel0': 0.0, 'cel1': 0.9, 'cel2': 1.4, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.2, 'rot0': 161, 'rot1': 204, 'rot2': 2113, 'rot3': 2153, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 4388}
