{'time': 8712, 'x': 171.375, 'y': 2.438, 'z': 174.063, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 22.392, 'thr1': -273.15, 'thr2': 22.392, 'thr3': 21.994, 'thr4': 21.796, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 8721}
{'time': 9073, 'x': 170.75, 'y': -0.375, 'z': 176.938, 'watertmp': 25.9, 'depth': 0.1, 'thr0': 21.994, 'thr1': -273.15, 'thr2': 21.994, 'thr3': 21.597, 'thr4': 21.696, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 9083}
{'time': 9438, 'x': 170.813, 'y': -0.125, 'z': 176.688, 'watertmp': 25.9, 'depth': 0.2, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 22.094, 'thr3': 21.895, 'thr4': 21.696, 'thr5': 22.392, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 9447}
{'time': 9803, 'x': 171.313, 'y': -0.688, 'z': 172.375, 'watertmp': 25.9, 'depth': 0.2, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 21.994, 'thr4': 21.796, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 9812}
{'time': 10166, 'x': 171.438, 'y': 0.25, 'z': 170.813, 'watertmp': 25.9, 'depth': 0.2, 'thr0': 22.293, 'thr1': -273.15, 'thr2': 22.392, 'thr3': 21.994, 'thr4': 21.796, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 10176}
{'time': 10532, 'x': 171.625, 'y': -0.75, 'z': 170.375, 'watertmp': 25.9, 'depth': 0.2, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 21.994, 'thr4': 21.696, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 10542}
{'time': 10897, 'x': 171.625, 'y': -0.688, 'z': 170.625, 'watertmp': 25.9, 'depth': 0.2, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 22.392, 'thr3': 21.994, 'thr4': 21.796, 'thr5': 22.592, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 10906}
{'time': 11265, 'x': 171.625, 'y': -0.5, 'z': 170.813, 'watertmp': 25.9, 'depth': 0.2, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 22.293, 'thr3': 21.994, 'thr4': 21.696, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 11274}
{'time': 11629, 'x': 171.625, 'y': -0.438, 'z': 171.0, 'watertmp': 25.9, 'depth': 0.2, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 22.193, 'thr3': 21.895, 'thr4': 21.796, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 11639}
{'time': 11995, 'x': 171.625, 'y': -0.438, 'z': 171.063, 'watertmp': 25.9, 'depth': 0.2, 'thr0': 22.193, 'thr1': -273.15, 'thr2': 22.392, 'thr3': 22.094, 'thr4': 21.796, 'thr5': 22.492, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 1.9, 'cel4': 3.0, 'cel5': 2.9, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 1, 'Mag': 0, 'endtime': 12005}
