{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221455064, 'lon': 127.667942328}
{'lat': 26.221455064, 'lon': 127.667942328, 'time': 2545, 'x': 286.375, 'y': -0.625, 'z': 177.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 25.202, 'thr3': 25.202, 'thr4': 28.171, 'thr5': 27.861, 'cur0': 2.9, 'cur1': 0.1, 'cur2': 3.7, 'cel0': 5.9, 'cel1': 5.1, 'cel2': 4.3, 'cel3': 4.2, 'cel4': 3.8, 'cel5': 3.7, 'rot0': 18, 'rot1': 24, 'rot2': 16, 'rot3': 19, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2189}
{'lat': 26.221455064, 'lon': 127.667942328, 'time': 2545, 'x': 286.625, 'y': -0.438, 'z': 174.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 25.202, 'thr3': 25.202, 'thr4': 28.171, 'thr5': 27.861, 'cur0': 2.9, 'cur1': 0.1, 'cur2': 3.7, 'cel0': 5.9, 'cel1': 5.1, 'cel2': 4.3, 'cel3': 4.2, 'cel4': 3.8, 'cel5': 3.7, 'rot0': 18, 'rot1': 24, 'rot2': 16, 'rot3': 19, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2189}
{'lat': 26.221455064, 'lon': 127.667942328, 'time': 2545, 'x': 286.625, 'y': -0.438, 'z': 174.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 25.304, 'thr4': 28.171, 'thr5': 27.861, 'cur0': 2.9, 'cur1': 0.1, 'cur2': 3.7, 'cel0': 5.9, 'cel1': 5.1, 'cel2': 4.3, 'cel3': 4.2, 'cel4': 3.8, 'cel5': 3.7, 'rot0': 18, 'rot1': 24, 'rot2': 16, 'rot3': 19, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2189}
{'lat': 26.221455064, 'lon': 127.667942328, 'time': 2545, 'x': 286.625, 'y': -0.438, 'z': 174.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 25.304, 'thr4': 27.757, 'thr5': 27.964, 'cur0': 2.9, 'cur1': 0.1, 'cur2': 3.7, 'cel0': 5.9, 'cel1': 5.1, 'cel2': 4.3, 'cel3': 4.2, 'cel4': 3.8, 'cel5': 3.7, 'rot0': 18, 'rot1': 24, 'rot2': 16, 'rot3': 19, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2189}
{'lat': 26.221455064, 'lon': 127.667942328, 'time': 2545, 'x': 286.625, 'y': -0.438, 'z': 174.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 25.304, 'thr4': 27.757, 'thr5': 27.964, 'cur0': 1.8, 'cur1': 0.0, 'cur2': 3.0, 'cel0': 5.9, 'cel1': 5.1, 'cel2': 4.3, 'cel3': 4.2, 'cel4': 3.8, 'cel5': 3.7, 'rot0': 18, 'rot1': 24, 'rot2': 16, 'rot3': 19, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2189}
{'lat': 26.221455064, 'lon': 127.667942328, 'time': 2545, 'x': 286.625, 'y': -0.438, 'z': 174.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 25.304, 'thr4': 27.757, 'thr5': 27.964, 'cur0': 1.8, 'cur1': 0.0, 'cur2': 3.0, 'cel0': 6.0, 'cel1': 4.9, 'cel2': 4.2, 'cel3': 4.2, 'cel4': 3.8, 'cel5': 3.7, 'rot0': 18, 'rot1': 24, 'rot2': 16, 'rot3': 19, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2189}
{'lat': 26.221455064, 'lon': 127.667942328, 'time': 2545, 'x': 286.625, 'y': -0.438, 'z': 174.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 25.304, 'thr4': 27.757, 'thr5': 27.964, 'cur0': 1.8, 'cur1': 0.0, 'cur2': 3.0, 'cel0': 6.0, 'cel1': 4.9, 'cel2': 4.2, 'cel3': 4.1, 'cel4': 3.7, 'cel5': 3.6, 'rot0': 18, 'rot1': 24, 'rot2': 16, 'rot3': 19, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2189}
{'lat': 26.221455064, 'lon': 127.667942328, 'time': 2545, 'x': 286.625, 'y': -0.438, 'z': 174.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 25.304, 'thr4': 27.757, 'thr5': 27.964, 'cur0': 1.8, 'cur1': 0.0, 'cur2': 3.0, 'cel0': 6.0, 'cel1': 4.9, 'cel2': 4.2, 'cel3': 4.1, 'cel4': 3.7, 'cel5': 3.6, 'rot0': 28, 'rot1': 35, 'rot2': 21, 'rot3': 19, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2189}
{'lat': 26.221455064, 'lon': 127.667942328, 'time': 2915, 'x': 286.875, 'y': -0.75, 'z': 174.313, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.757, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 25.304, 'thr4': 27.757, 'thr5': 27.964, 'cur0': 1.8, 'cur1': 0.0, 'cur2': 3.0, 'cel0': 6.0, 'cel1': 4.9, 'cel2': 4.2, 'cel3': 4.1, 'cel4': 3.7, 'cel5': 3.6, 'rot0': 28, 'rot1': 35, 'rot2': 21, 'rot3': 25, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2556}
{'lat': 26.221455064, 'lon': 127.667942328, 'time': 2915, 'x': 286.875, 'y': -0.75, 'z': 171.625, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 24.294, 'thr3': 25.304, 'thr4': 27.757, 'thr5': 27.964, 'cur0': 1.8, 'cur1': 0.0, 'cur2': 3.0, 'cel0': 6.0, 'cel1': 4.9, 'cel2': 4.2, 'cel3': 4.1, 'cel4': 3.7, 'cel5': 3.6, 'rot0': 28, 'rot1': 35, 'rot2': 21, 'rot3': 25, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2556}
{'lat': 26.221455064, 'lon': 127.667942328, 'time': 2915, 'x': 286.875, 'y': -0.75, 'z': 171.625, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 24.697, 'thr3': 25.506, 'thr4': 28.275, 'thr5': 27.964, 'cur0': 1.8, 'cur1': 0.0, 'cur2': 3.0, 'cel0': 6.0, 'cel1': 4.9, 'cel2': 4.2, 'cel3': 4.1, 'cel4': 3.7, 'cel5': 3.6, 'rot0': 28, 'rot1': 35, 'rot2': 21, 'rot3': 25, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2556}
{'lat': 26.221455064, 'lon': 127.667942328, 'time': 2915, 'x': 286.875, 'y': -0.75, 'z': 171.625, 'watertmp': 26.0, 'depth': 0.2, 'thr0': 27.861, 'thr1': -273.15, 'thr2': 24.697, 'thr3': 25.506, 'thr4': 28.275, 'thr5': 28.275, 'cur0': 1.1, 'cur1': 0.0, 'cur2': 3.0, 'cel0': 6.0, 'cel1': 4.9, 'cel2': 4.2, 'cel3': 4.1, 'cel4': 3.7, 'cel5': 3.6, 'rot0': 28, 'rot1': 35, 'rot2': 21, 'rot3': 25, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 2556}
