{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 26.221431692, 'lon': 127.667985547}
{'lat': 26.221428535, 'lon': 127.667985547}
{'lat': 26.221428535, 'lon': 127.667979432, 'time': 3987, 'x': 101.625, 'y': -3.75, 'z': 178.813, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 29.212, 'thr1': -273.15, 'thr2': 29.212, 'thr3': 28.794, 'thr4': 29.632, 'thr5': 29.842, 'cur0': 0.1, 'cur1': 5.1, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 1, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 3635}
{'lat': 26.221428535, 'lon': 127.667979432, 'time': 3987, 'x': 101.625, 'y': -3.75, 'z': -179.25, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 28.275, 'thr4': 29.422, 'thr5': 29.632, 'cur0': 0.1, 'cur1': 6.2, 'cur2': 0.3, 'cel0': 0.0, 'cel1': 1.1, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 1, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 3635}
{'lat': 26.221430972, 'lon': 127.66797151, 'time': 4354, 'x': 101.813, 'y': -3.75, 'z': -179.25, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 28.275, 'thr4': 29.422, 'thr5': 29.632, 'cur0': 0.1, 'cur1': 6.2, 'cur2': 0.3, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 3997}
{'lat': 26.221430972, 'lon': 127.66797151, 'time': 4354, 'x': 101.813, 'y': -3.313, 'z': 179.375, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.586, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 28.275, 'thr4': 29.422, 'thr5': 29.632, 'cur0': 0.1, 'cur1': 6.2, 'cur2': 0.3, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 1.9, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 3997}
{'lat': 26.221430972, 'lon': 127.66797151, 'time': 4354, 'x': 101.813, 'y': -3.313, 'z': 179.375, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.586, 'thr1': -86.987, 'thr2': 29.108, 'thr3': 28.794, 'thr4': 29.527, 'thr5': 30.053, 'cur0': 0.1, 'cur1': 7.2, 'cur2': 0.3, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 3997}
{'lat': 'n/a', 'lon': 'n/a', 'time': 4354, 'x': 101.813, 'y': -3.313, 'z': 179.375, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.586, 'thr1': -86.987, 'thr2': 29.108, 'thr3': 28.794, 'thr4': 29.527, 'thr5': 30.053, 'cur0': 0.1, 'cur1': 7.2, 'cur2': 0.3, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 4363}
{'lat': 'n/a', 'lon': 'n/a', 'time': 4716, 'x': 101.75, 'y': -3.313, 'z': 179.375, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.586, 'thr1': -86.987, 'thr2': 29.108, 'thr3': 28.794, 'thr4': 29.527, 'thr5': 30.053, 'cur0': 0.1, 'cur1': 7.2, 'cur2': 0.3, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 4363}
{'lat': 'n/a', 'lon': 'n/a', 'time': 4716, 'x': 101.75, 'y': -3.25, 'z': 175.625, 'watertmp': 26.0, 'depth': 0.3, 'thr0': 28.586, 'thr1': -86.987, 'thr2': 29.108, 'thr3': 28.794, 'thr4': 29.527, 'thr5': 30.053, 'cur0': 0.1, 'cur1': 7.2, 'cur2': 0.3, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 4363}
{'lat': 'n/a', 'lon': 'n/a', 'time': 4716, 'x': 101.75, 'y': -3.25, 'z': 175.625, 'watertmp': 26.0, 'depth': 0.4, 'thr0': 28.69, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 28.794, 'thr4': 29.527, 'thr5': 30.053, 'cur0': 0.1, 'cur1': 7.2, 'cur2': 0.3, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 4363}
{'lat': 'n/a', 'lon': 'n/a', 'time': 4716, 'x': 101.75, 'y': -3.25, 'z': 175.625, 'watertmp': 26.0, 'depth': 0.4, 'thr0': 28.69, 'thr1': -273.15, 'thr2': 29.003, 'thr3': 28.586, 'thr4': 29.632, 'thr5': 29.737, 'cur0': 0.1, 'cur1': 7.2, 'cur2': 0.3, 'cel0': 0.0, 'cel1': 1.2, 'cel2': 2.0, 'cel3': 2.6, 'cel4': 2.9, 'cel5': 3.0, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 1, 'Mag': 0, 'endtime': 4363}
