{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12010, 'x': 0.0, 'y': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12356, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.0, 'depth': -0.1, 'thr0': 16.376, 'thr1': -273.15, 'thr2': 16.278, 'thr3': 16.376, 'thr4': 15.983, 'thr5': 16.376, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.3, 'cel4': 2.5, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 8206, 'rot5': 3086, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12281}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12356, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.0, 'depth': -0.1, 'thr0': 16.376, 'thr1': -273.15, 'thr2': 16.278, 'thr3': 16.376, 'thr4': 15.983, 'thr5': 16.376, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.3, 'cel4': 2.5, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 8477, 'rot5': 3166, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12281}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12442, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.0, 'depth': -0.0, 'thr0': 16.278, 'thr1': -273.15, 'thr2': 16.18, 'thr3': 16.278, 'thr4': 15.983, 'thr5': 16.376, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.6, 'cel3': 2.3, 'cel4': 2.5, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 8477, 'rot5': 3166, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12367}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12442, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.0, 'depth': -0.0, 'thr0': 16.278, 'thr1': -273.15, 'thr2': 16.18, 'thr3': 16.278, 'thr4': 16.376, 'thr5': 16.572, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.5, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.8, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 8477, 'rot5': 3166, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12367}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12442, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.0, 'depth': -0.0, 'thr0': 16.278, 'thr1': -273.15, 'thr2': 16.18, 'thr3': 16.278, 'thr4': 16.376, 'thr5': 16.572, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.5, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 8748, 'rot5': 3247, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12367}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12442, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.0, 'depth': -0.0, 'thr0': 16.278, 'thr1': -273.15, 'thr2': 16.18, 'thr3': 16.278, 'thr4': 16.376, 'thr5': 16.572, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.5, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 8748, 'rot5': 3247, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12454}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12530, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.1, 'depth': -0.0, 'thr0': 16.572, 'thr1': -273.15, 'thr2': 16.376, 'thr3': 16.474, 'thr4': 16.18, 'thr5': 16.572, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.8, 'cel2': 1.5, 'cel3': 2.2, 'cel4': 2.4, 'cel5': 2.7, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 8748, 'rot5': 3247, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12454}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12530, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.1, 'depth': -0.0, 'thr0': 16.572, 'thr1': -273.15, 'thr2': 16.376, 'thr3': 16.474, 'thr4': 16.18, 'thr5': 16.474, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.5, 'cel3': 2.1, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 9019, 'rot5': 3329, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12541}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12616, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.1, 'depth': -0.0, 'thr0': 16.572, 'thr1': -273.15, 'thr2': 16.376, 'thr3': 16.474, 'thr4': 16.18, 'thr5': 16.474, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.5, 'cel3': 2.1, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 9019, 'rot5': 3329, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12541}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12616, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.1, 'depth': -0.1, 'thr0': 16.278, 'thr1': -273.15, 'thr2': 16.376, 'thr3': 16.474, 'thr4': 16.18, 'thr5': 16.474, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.5, 'cel3': 2.1, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 9019, 'rot5': 3329, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12541}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12616, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.1, 'depth': -0.1, 'thr0': 16.278, 'thr1': -273.15, 'thr2': 16.278, 'thr3': 16.376, 'thr4': 16.082, 'thr5': 16.474, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.5, 'cel3': 2.1, 'cel4': 2.4, 'cel5': 2.6, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 9019, 'rot5': 3329, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12541}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12616, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.1, 'depth': -0.1, 'thr0': 16.278, 'thr1': -273.15, 'thr2': 16.278, 'thr3': 16.376, 'thr4': 16.082, 'thr5': 16.474, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 9019, 'rot5': 3329, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12541}
{'lat': 'n/a', 'lon': 'n/a', 'time': 12616, 'x': 182.625, 'y': -0.125, 'z': 173.125, 'watertmp': 20.1, 'depth': -0.1, 'thr0': 16.278, 'thr1': -273.15, 'thr2': 16.278, 'thr3': 16.376, 'thr4': 16.082, 'thr5': 16.474, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.7, 'cel2': 1.4, 'cel3': 2.0, 'cel4': 2.3, 'cel5': 2.5, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 9290, 'rot5': 3410, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 12541}
