{}
{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 738, 'x': 0.0}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1258, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.539, 'thr1': -273.15, 'thr2': 12.638, 'thr3': 12.737, 'thr4': 12.539, 'thr5': 12.638, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 2979, 'rot5': 907, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1182}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1258, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.539, 'thr1': -273.15, 'thr2': 12.638, 'thr3': 12.737, 'thr4': 12.539, 'thr5': 12.638, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 2979, 'rot5': 907, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1269}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1344, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.737, 'thr1': -273.15, 'thr2': 12.934, 'thr3': 12.836, 'thr4': 12.539, 'thr5': 12.638, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 2979, 'rot5': 907, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1269}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1344, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.737, 'thr1': -273.15, 'thr2': 12.934, 'thr3': 12.836, 'thr4': 12.539, 'thr5': 12.638, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.2, 'cel3': 1.7, 'cel4': 2.0, 'cel5': 2.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 2979, 'rot5': 907, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1269}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1344, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.737, 'thr1': -273.15, 'thr2': 12.934, 'thr3': 12.836, 'thr4': 12.539, 'thr5': 12.638, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.2, 'cel3': 1.7, 'cel4': 2.0, 'cel5': 2.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 3250, 'rot5': 986, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1269}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1431, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.737, 'thr1': -273.15, 'thr2': 12.934, 'thr3': 12.836, 'thr4': 12.539, 'thr5': 12.638, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.2, 'cel3': 1.7, 'cel4': 2.0, 'cel5': 2.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 3250, 'rot5': 986, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1355}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1431, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.638, 'thr1': -273.15, 'thr2': 12.934, 'thr3': 12.836, 'thr4': 12.539, 'thr5': 12.638, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.2, 'cel3': 1.7, 'cel4': 2.0, 'cel5': 2.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 3250, 'rot5': 986, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1355}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1431, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.638, 'thr1': -273.15, 'thr2': 12.934, 'thr3': 13.23, 'thr4': 12.737, 'thr5': 12.737, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.2, 'cel3': 1.7, 'cel4': 2.0, 'cel5': 2.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 3250, 'rot5': 986, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1355}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1431, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.638, 'thr1': -273.15, 'thr2': 12.934, 'thr3': 13.23, 'thr4': 12.737, 'thr5': 12.737, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.2, 'cel3': 1.7, 'cel4': 2.0, 'cel5': 2.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 3521, 'rot5': 1067, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1355}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1431, 'x': 182.813, 'y': -0.125, 'z': 173.438, 'watertmp': 15.4, 'depth': -0.1, 'thr0': 12.638, 'thr1': -273.15, 'thr2': 12.934, 'thr3': 13.23, 'thr4': 12.737, 'thr5': 12.737, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.2, 'cel3': 1.7, 'cel4': 2.0, 'cel5': 2.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'rot4': 3521, 'rot5': 1067, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1442}
