{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1239, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.2, 'depth': -0.0, 'thr0': 18.34, 'thr1': -86.987, 'thr2': 18.242, 'thr3': 18.34, 'thr4': 18.242, 'thr5': 18.438, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1165}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1320, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.2, 'depth': -0.0, 'thr0': 18.537, 'thr1': -86.987, 'thr2': 18.438, 'thr3': 18.537, 'thr4': 18.242, 'thr5': 18.438, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.3, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1248}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1320, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.2, 'depth': -0.0, 'thr0': 18.537, 'thr1': -86.987, 'thr2': 18.438, 'thr3': 18.537, 'thr4': 18.242, 'thr5': 18.438, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.2, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.3, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1248}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1320, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.2, 'depth': -0.0, 'thr0': 18.537, 'thr1': -86.987, 'thr2': 18.438, 'thr3': 18.537, 'thr4': 18.242, 'thr5': 18.438, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.2, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1248}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1320, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.2, 'depth': -0.0, 'thr0': 18.537, 'thr1': -86.987, 'thr2': 18.438, 'thr3': 18.537, 'thr4': 18.242, 'thr5': 18.438, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.2, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1330}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1401, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.2, 'depth': -0.0, 'thr0': 17.947, 'thr1': -86.987, 'thr2': 18.34, 'thr3': 18.733, 'thr4': 18.242, 'thr5': 18.438, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.2, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1330}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1401, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.2, 'depth': -0.0, 'thr0': 17.947, 'thr1': -86.987, 'thr2': 18.34, 'thr3': 18.733, 'thr4': 18.34, 'thr5': 18.34, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.2, 'cel3': 1.8, 'cel4': 2.1, 'cel5': 2.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 0, 'Accel': 0, 'Mag': 0, 'endtime': 1330}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1484, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.2, 'depth': -0.0, 'thr0': 18.438, 'thr1': -273.15, 'thr2': 18.242, 'thr3': 18.438, 'thr4': 18.144, 'thr5': 18.144, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.2, 'cel3': 1.7, 'cel4': 2.0, 'cel5': 2.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1412}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1484, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.2, 'depth': -0.0, 'thr0': 18.438, 'thr1': -273.15, 'thr2': 18.242, 'thr3': 18.438, 'thr4': 18.144, 'thr5': 18.144, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.2, 'cel3': 1.7, 'cel4': 2.0, 'cel5': 2.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1495}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1568, 'x': 173.188, 'y': 0.375, 'z': 173.25, 'watertmp': 22.2, 'depth': -0.0, 'thr0': 18.438, 'thr1': -273.15, 'thr2': 18.242, 'thr3': 18.438, 'thr4': 18.144, 'thr5': 18.144, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.2, 'cel3': 1.7, 'cel4': 2.0, 'cel5': 2.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1495}
