{'lat': 'n/a', 'lon': 'n/a'}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1474, 'x': 183.438, 'y': -0.188, 'z': 173.0, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.144, 'thr1': -273.15, 'thr2': 17.161, 'thr3': 17.161, 'thr4': 17.849, 'thr5': 17.652, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.2, 'cel3': 1.7, 'cel4': 2.0, 'cel5': 2.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1401}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1474, 'x': 183.438, 'y': -0.188, 'z': 173.0, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.144, 'thr1': -273.15, 'thr2': 17.161, 'thr3': 17.161, 'thr4': 17.849, 'thr5': 17.652, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.2, 'cel3': 1.7, 'cel4': 2.0, 'cel5': 2.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1484}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1557, 'x': 183.438, 'y': -0.188, 'z': 173.0, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.144, 'thr1': -273.15, 'thr2': 17.161, 'thr3': 17.161, 'thr4': 17.849, 'thr5': 17.652, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.2, 'cel3': 1.7, 'cel4': 2.0, 'cel5': 2.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1484}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1557, 'x': 183.438, 'y': -0.188, 'z': 173.0, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.242, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 17.456, 'thr4': 18.045, 'thr5': 17.652, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.2, 'cel3': 1.7, 'cel4': 2.0, 'cel5': 2.2, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1484}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1557, 'x': 183.438, 'y': -0.188, 'z': 173.0, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.242, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 17.456, 'thr4': 18.045, 'thr5': 17.947, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.2, 'cel3': 1.7, 'cel4': 2.0, 'cel5': 2.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1484}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1557, 'x': 183.438, 'y': -0.188, 'z': 173.0, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 18.242, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 17.456, 'thr4': 18.045, 'thr5': 17.947, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.2, 'cel3': 1.7, 'cel4': 2.0, 'cel5': 2.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1567}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1639, 'x': 183.438, 'y': -0.188, 'z': 173.0, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 17.849, 'thr1': -273.15, 'thr2': 17.26, 'thr3': 17.456, 'thr4': 18.045, 'thr5': 17.947, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.2, 'cel3': 1.7, 'cel4': 2.0, 'cel5': 2.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1567}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1639, 'x': 183.438, 'y': -0.188, 'z': 173.0, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 17.849, 'thr1': -273.15, 'thr2': 16.965, 'thr3': 17.063, 'thr4': 17.456, 'thr5': 17.26, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.2, 'cel3': 1.7, 'cel4': 2.0, 'cel5': 2.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1567}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1639, 'x': 183.438, 'y': -0.188, 'z': 173.0, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 17.849, 'thr1': -273.15, 'thr2': 16.965, 'thr3': 17.063, 'thr4': 17.456, 'thr5': 17.26, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.2, 'cel3': 1.7, 'cel4': 2.0, 'cel5': 2.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1649}
{'lat': 'n/a', 'lon': 'n/a', 'time': 1721, 'x': 183.438, 'y': -0.188, 'z': 173.0, 'watertmp': 21.0, 'depth': -0.1, 'thr0': 17.849, 'thr1': -273.15, 'thr2': 16.965, 'thr3': 17.063, 'thr4': 17.456, 'thr5': 17.26, 'cur0': 0.0, 'cur1': 0.0, 'cur2': 0.0, 'cel0': 0.0, 'cel1': 0.6, 'cel2': 1.2, 'cel3': 1.7, 'cel4': 2.0, 'cel5': 2.1, 'rot0': 0, 'rot1': 0, 'rot2': 0, 'rot3': 0, 'sys': 0, 'Gyro': 3, 'Accel': 0, 'Mag': 0, 'endtime': 1649}
